num_of_atoms,num_of_heavy_atoms
14,6
11,5
15,6
21,7
20,7
8,6
14,5
18,7
25,8
18,7
21,7
13,7
17,6
15,7
9,5
14,5
9,5
5,4
12,6
23,8
18,6
20,7
12,5
25,8
19,7
14,6
16,6
13,5
9,4
7,5
9,4
12,5
21,7
6,5
14,6
12,5
18,6
5,4
19,6
11,6
15,5
20,7
9,4
8,5
12,5
10,4
20,7
21,7
13,5
20,7
17,7
9,5
16,6
14,6
16,7
18,6
10,4
15,5
10,5
9,5
10,5
14,6
20,7
9,6
8,4
13,6
19,7
8,5
17,6
11,4
10,6
8,6
13,5
23,7
18,7
20,7
18,6
9,5
13,5
25,8
19,6
13,5
16,6
5,3
10,5
16,6
9,5
17,6
11,5
12,5
16,6
11,6
22,8
8,4
12,5
16,6
10,5
8,4
22,7
11,5
18,6
8,4
14,6
12,5
23,7
16,6
21,7
9,6
14,6
14,5
19,7
19,7
23,8
12,5
19,7
15,6
15,6
16,7
10,5
17,6
16,6
7,6
19,7
24,8
20,6
15,6
6,4
19,7
15,6
8,5
15,6
10,5
12,5
15,6
9,4
22,8
18,6
18,6
17,6
15,6
18,7
6,4
18,6
12,6
19,7
21,7
16,6
12,6
22,7
11,5
8,4
18,6
17,7
17,7
14,6
14,6
8,4
20,7
7,3
15,6
19,7
11,6
5,2
19,7
8,4
17,7
17,7
10,6
16,7
13,7
21,7
8,5
7,5
22,7
19,7
16,6
14,6
18,8
18,7
19,7
10,5
13,6
8,5
18,6
15,6
9,4
16,7
12,6
13,5
15,6
17,7
27,9
18,6
19,7
8,4
5,4
14,6
16,6
10,5
14,7
13,6
19,6
16,7
23,8
12,6
16,6
15,6
18,6
16,7
15,6
7,4
16,6
24,8
32,10
16,6
12,5
14,6
12,6
10,5
13,7
9,6
16,6
9,4
10,6
19,7
8,6
17,7
17,7
14,6
18,6
14,6
13,6
5,3
14,6
14,6
15,6
13,4
9,5
13,6
15,6
20,7
11,6
12,6
7,5
19,6
17,6
8,5
9,4
10,4
12,6
8,5
15,6
20,7
7,5
13,6
12,5
11,6
13,6
18,7
20,7
9,4
11,6
11,5
20,7
8,5
16,6
17,6
14,7
14,6
15,6
22,7
20,7
16,6
18,7
18,6
17,7
13,6
10,5
17,7
9,4
20,7
16,6
21,8
13,6
15,6
6,3
14,6
14,6
10,6
11,6
14,5
17,6
15,6
17,6
20,7
12,6
17,6
25,8
20,7
8,4
8,4
20,7
16,6
12,6
20,7
20,7
10,5
16,6
21,7
17,7
11,5
20,7
15,6
19,7
15,6
9,4
16,7
15,6
7,5
16,6
20,8
20,7
16,7
11,5
17,6
17,6
12,4
11,5
16,7
15,6
14,6
15,6
15,6
21,7
24,8
10,7
16,7
8,4
16,6
11,5
